gate,family,run,task,condition,acc,acc_std,acc_minus_majority,loss_gain,label_gap,dispersion_delta,n,params,verdict,path
partial,hyper_smoke_remote,wh_island_variants,blimp,resonance_full_normalized,0.5,0.0,0.0,0.023919224739074707,-0.0860738130286336,-0.13929754495620728,1.0,509256.0,weak: behavior improves but hidden geometry is not label-separated,resonance/outputs/hyper_smoke_remote/wh_island_variants/results.json
partial,hyper_smoke_remote,wh_island_variants,blimp,phase_stream_only_normalized,0.5,0.0,0.0,0.02392663061618805,-0.08611840568482876,-0.13902992010116577,1.0,509256.0,weak: behavior improves but hidden geometry is not label-separated,resonance/outputs/hyper_smoke_remote/wh_island_variants/results.json
partial,hyper_smoke_remote,wh_island_variants,blimp,phase_dynamic_mlp,0.609375,0.0,0.109375,0.04509691894054413,-0.04883295390754938,-0.16739018261432648,1.0,517768.0,weak: behavior improves but hidden geometry is not label-separated,resonance/outputs/hyper_smoke_remote/wh_island_variants/results.json
partial,hyper_smoke_remote,wh_island_variants,blimp,phase_dynamic_attn,0.609375,0.0,0.109375,0.03708389401435852,-0.11027832608669996,-0.11435988545417786,1.0,526344.0,weak: behavior improves but hidden geometry is not label-separated,resonance/outputs/hyper_smoke_remote/wh_island_variants/results.json
fail,hyper_smoke_remote,wh_island_variants,blimp,phase_qk_film,0.453125,0.0,-0.046875,-0.004250824451446533,-0.08415105380117893,-0.21802058815956116,1.0,526152.0,weak: behavior improves but hidden geometry is not label-separated,resonance/outputs/hyper_smoke_remote/wh_island_variants/results.json
partial,hyper_smoke_remote,wh_island_variants,blimp,phase_dynamic_qk_film,0.640625,0.0,0.140625,0.03444857895374298,-0.052998156286776066,-0.12610413134098053,1.0,534664.0,weak: behavior improves but hidden geometry is not label-separated,resonance/outputs/hyper_smoke_remote/wh_island_variants/results.json
partial,hyper_smoke_remote,wh_island_variants,blimp,complex_directional,0.5,0.0,0.0,0.023921340703964233,-0.08607271127402782,-0.13930097222328186,1.0,509321.0,weak: behavior improves but hidden geometry is not label-separated,resonance/outputs/hyper_smoke_remote/wh_island_variants/results.json
partial,hyper_smoke_remote,wh_island_variants,blimp,structural_heads_1,0.5,0.0,0.0,0.024011701345443726,-0.08624601457268,-0.13921231031417847,1.0,509258.0,weak: behavior improves but hidden geometry is not label-separated,resonance/outputs/hyper_smoke_remote/wh_island_variants/results.json
fail,local_overnight_2026_04_27,blimp_adjunct_island_n75,blimp,standard,0.49333333333333335,0.017638342073763923,-0.006666666666666654,-0.05921286658236854,-0.11015810873773363,-0.1303649159769217,3.0,578320.0,weak: no condition beats majority baseline by 5 points,resonance/outputs/local_overnight_2026_04_27/blimp_adjunct_island_n75/results.json
fail,local_overnight_2026_04_27,blimp_adjunct_island_n75,blimp,resonance_full_normalized,0.5011111111111112,0.01071516751221438,0.0011111111111111738,-0.018662764315019564,-0.04058439638879564,-0.22524474809567133,3.0,712044.0,weak: no condition beats majority baseline by 5 points,resonance/outputs/local_overnight_2026_04_27/blimp_adjunct_island_n75/results.json
fail,local_overnight_2026_04_27,blimp_adjunct_island_n75,blimp,phase_stream_only_normalized,0.5011111111111112,0.01071516751221438,0.0011111111111111738,-0.01854938477800605,-0.040551643239127265,-0.22524309530854225,3.0,712044.0,weak: no condition beats majority baseline by 5 points,resonance/outputs/local_overnight_2026_04_27/blimp_adjunct_island_n75/results.json
fail,local_overnight_2026_04_27,blimp_adjunct_island_n75,blimp,bias_only_normalized,0.49444444444444446,0.011706281947614174,-0.005555555555555536,-0.02147052476280616,-0.05320475273662143,-0.2967391361792882,3.0,712044.0,weak: no condition beats majority baseline by 5 points,resonance/outputs/local_overnight_2026_04_27/blimp_adjunct_island_n75/results.json
fail,local_overnight_2026_04_27,blimp_adjunct_island_n75,blimp,resonance_inert_normalized,0.49444444444444446,0.011706281947614174,-0.005555555555555536,-0.021415453208120216,-0.05316221574942271,-0.2967686057090759,3.0,712044.0,weak: no condition beats majority baseline by 5 points,resonance/outputs/local_overnight_2026_04_27/blimp_adjunct_island_n75/results.json
fail,local_overnight_2026_04_27,blimp_wh_island_n125,blimp,standard,0.5322222222222223,0.03501322501464163,0.03222222222222226,-0.051721774695212365,-0.223980393409729,0.06425894300142924,3.0,578320.0,weak: training barely reduces answer loss,resonance/outputs/local_overnight_2026_04_27/blimp_wh_island_n125/results.json
partial,local_overnight_2026_04_27,blimp_wh_island_n125,blimp,resonance_full_normalized,0.5711111111111111,0.0569925271254763,0.07111111111111112,-0.013373447091955907,-0.12991033090485468,0.08223834137121837,3.0,712044.0,weak: training barely reduces answer loss,resonance/outputs/local_overnight_2026_04_27/blimp_wh_island_n125/results.json
partial,local_overnight_2026_04_27,blimp_wh_island_n125,blimp,phase_stream_only_normalized,0.5711111111111111,0.0569925271254763,0.07111111111111112,-0.013512677267978038,-0.13014338294665018,0.08219919105370839,3.0,712044.0,weak: training barely reduces answer loss,resonance/outputs/local_overnight_2026_04_27/blimp_wh_island_n125/results.json
